PKG	VERSION	ARCH	SIZE_BYTES	SIZE_HUMAN	MANUAL	DEPENDS	RDEPS_COUNT
accountsservice	22.07.5-2ubuntu1.4	amd64	512000	500.00 KB	0	dbus (>= 1.9.18), libaccountsservice0 (= 22.07.5-2ubuntu1.4), libc6 (>= 2.34), libglib2.0-0 (>= 2.63.5), libpolkit-gobject-1-0 (>= 0.99)	0
acl	2.3.1-1	amd64	204800	200.00 KB	0	libacl1 (= 2.3.1-1), libc6 (>= 2.34)	2
adduser	3.118ubuntu5	all	622592	608.00 KB	0	passwd, debconf (>= 0.5) | debconf-2.0	19
adwaita-icon-theme	41.0-1ubuntu1	all	5359616	5.11 MB	0	hicolor-icon-theme, gtk-update-icon-cache, ubuntu-mono | adwaita-icon-theme-full	3
alsa-topology-conf	1.2.5.1-2	all	430080	420.00 KB	0	-	1
alsa-ucm-conf	1.2.6.3-1ubuntu1.12	all	613376	599.00 KB	0	libasound2 (>= 1.2.4)	1
apg	2.2.3.dfsg.1-5build2	amd64	116736	114.00 KB	0	libc6 (>= 2.34), libcrypt1 (>= 1:4.1.0)	0
apparmor	3.0.4-2ubuntu2.4	amd64	2744320	2.62 MB	0	debconf, lsb-base, debconf (>= 0.5) | debconf-2.0, libc6 (>= 2.34)	7
apport	2.20.11-0ubuntu82.10	all	835584	816.00 KB	1	python3, python3-apport (>= 2.20.11-0ubuntu82.10), lsb-base (>= 3.0-6), python3-gi, gir1.2-glib-2.0 (>= 1.29.17)	4
apport-symptoms	0.24	all	62464	61.00 KB	0	-	1
apt	2.4.14	amd64	4240384	4.04 MB	0	adduser, gpgv | gpgv2 | gpgv1, libapt-pkg6.0 (>= 2.4.14), ubuntu-keyring, libc6 (>= 2.34), libgcc-s1 (>= 3.3.1), libgnutls30 (>= 3.7.0), libseccomp2 (>= 2.4.2), libstdc++6 (>= 11), libsystemd0	9
apt-file	3.2.2	all	92160	90.00 KB	1	perl:any, apt (>= 1.3~exp1~), libapt-pkg-perl, liblist-moreutils-perl, libregexp-assemble-perl	0
apt-utils	2.4.14	amd64	811008	792.00 KB	0	apt (= 2.4.14), libapt-pkg6.0 (>= 2.4.14), libc6 (>= 2.34), libdb5.3, libgcc-s1 (>= 3.3.1), libstdc++6 (>= 11)	3
aptdaemon	1.1.1+bzr982-0ubuntu39	all	180224	176.00 KB	0	python3:any (>= 3.2~), gir1.2-glib-2.0, python3-aptdaemon (= 1.1.1+bzr982-0ubuntu39), python3-gi, policykit-1	0
aspell-en	2018.04.16-0-1	all	434176	424.00 KB	0	aspell (>= 0.60.3-2), dictionaries-common (>= 0.49.2)	0
at	3.2.5-1ubuntu1	amd64	165888	162.00 KB	1	libpam-runtime (>= 1.0.1-11), lsb-base (>= 3.2-14), libc6 (>= 2.34), libpam0g (>= 0.99.7.1), libselinux1 (>= 3.1~)	0
at-spi2-core	2.44.0-3	amd64	282624	276.00 KB	0	libatspi2.0-0 (>= 2.9.90), libc6 (>= 2.34), libdbus-1-3 (>= 1.9.14), libglib2.0-0 (>= 2.67.4), libsystemd0, libx11-6, libxtst6, gsettings-desktop-schemas	1
autoconf	2.71-2	all	2080768	1.98 MB	0	perl (>> 5.005), m4 (>= 1.4.13), debianutils (>= 1.8)	1
avahi-daemon	0.8-5ubuntu5.1	amd64	304128	297.00 KB	0	libavahi-common3 (= 0.8-5ubuntu5.1), libavahi-core7 (= 0.8-5ubuntu5.1), libc6 (>= 2.34), libcap2 (>= 1:2.16), libdaemon0 (>= 0.14), libdbus-1-3 (>= 1.9.14), libexpat1 (>= 2.0.1), adduser, dbus (>= 0.60), lsb-base (>= 3.0-6), bind9-host | host	1
base-files	12ubuntu4.7	amd64	404480	395.00 KB	1	libc6 (>= 2.34), libcrypt1 (>= 1:4.4.10-10ubuntu3)	3
base-passwd	3.5.52build1	amd64	248832	243.00 KB	1	libc6 (>= 2.34), libdebconfclient0 (>= 0.145)	0
bash	5.1-6ubuntu1.1	amd64	1908736	1.82 MB	1	base-files (>= 2.1.12), debianutils (>= 2.15)	0
bash-completion	1:2.11-5ubuntu1	all	1499136	1.43 MB	0	-	6
bc	1.07.1-3build1	amd64	220160	215.00 KB	0	libc6 (>= 2.34), libreadline8 (>= 6.0)	2
bcache-tools	1.0.8-4ubuntu3	amd64	109568	107.00 KB	1	libblkid1 (>= 2.17.2), libc6 (>= 2.34), libuuid1 (>= 2.16), gawk	0
bind9-dnsutils	1:9.18.30-0ubuntu0.22.04.2	amd64	544768	532.00 KB	0	bind9-host | host, bind9-libs (= 1:9.18.30-0ubuntu0.22.04.2), libc6 (>= 2.34), libedit2 (>= 2.11-20080614-0), libidn2-0 (>= 2.0.0), libkrb5-3 (>= 1.6.dfsg.2)	1
bind9-host	1:9.18.30-0ubuntu0.22.04.2	amd64	188416	184.00 KB	0	bind9-libs (= 1:9.18.30-0ubuntu0.22.04.2), libc6 (>= 2.34), libidn2-0 (>= 2.0.0)	1
bind9-libs	1:9.18.30-0ubuntu0.22.04.2	amd64	3569664	3.40 MB	0	libc6 (>= 2.34), libgssapi-krb5-2 (>= 1.17), libjson-c5 (>= 0.15), libkrb5-3 (>= 1.6.dfsg.2), liblmdb0 (>= 0.9.7), libmaxminddb0 (>= 1.3.0), libnghttp2-14 (>= 1.12.0), libssl3 (>= 3.0.0~~alpha1), libuv1 (>= 1.34.2), libxml2 (>= 2.7.4), zlib1g (>= 1:1.1.4)	2
binfmt-support	2.2.1-2	amd64	199680	195.00 KB	0	lsb-base (>= 4.1+Debian3), libc6 (>= 2.34), libpipeline1 (>= 1.0.0)	4
binutils	2.38-4ubuntu2.8	amd64	116736	114.00 KB	0	binutils-common (= 2.38-4ubuntu2.8), libbinutils (= 2.38-4ubuntu2.8), binutils-x86-64-linux-gnu (= 2.38-4ubuntu2.8)	12
binutils-common	2.38-4ubuntu2.8	amd64	520192	508.00 KB	0	-	3
binutils-x86-64-linux-gnu	2.38-4ubuntu2.8	amd64	10677248	10.18 MB	0	binutils-common (= 2.38-4ubuntu2.8), libbinutils (= 2.38-4ubuntu2.8), libc6 (>= 2.34), libctf-nobfd0 (>= 2.36), libctf0 (>= 2.36), libgcc-s1 (>= 4.2), zlib1g (>= 1:1.1.4)	1
bluez	5.64-0ubuntu1	amd64	3759104	3.58 MB	0	libc6 (>= 2.34), libdbus-1-3 (>= 1.9.14), libglib2.0-0 (>= 2.31.8), libreadline8 (>= 6.0), libudev1 (>= 196), kmod, udev, lsb-base, dbus	0
bolt	0.9.2-1	amd64	480256	469.00 KB	0	libc6 (>= 2.34), libglib2.0-0 (>= 2.56), libpolkit-gobject-1-0 (>= 0.99), libudev1 (>= 183)	1
bsdextrautils	2.37.2-4ubuntu3.4	amd64	349184	341.00 KB	0	libc6 (>= 2.34), libsmartcols1 (>= 2.31.1), libtinfo6 (>= 6)	2
bsdmainutils	12.1.7+nmu3ubuntu2	all	27648	27.00 KB	0	bsdutils (>= 3.0-0), debianutils (>= 1.8), bsdextrautils (>= 2.35.2-7), ncal	2
bsdutils	1:2.37.2-4ubuntu3.4	amd64	342016	334.00 KB	0	-	0
btrfs-progs	5.16.2-1	amd64	4290560	4.09 MB	1	libblkid1 (>= 2.17.2), libc6 (>= 2.34), libcom-err2 (>= 1.43.9), libext2fs2 (>= 1.42), liblzo2-2 (>= 2.02), libudev1 (>= 183), libuuid1 (>= 2.16), libzstd1 (>= 1.4.0), zlib1g (>= 1:1.2.0)	1
build-essential	12.9ubuntu3	amd64	21504	21.00 KB	1	libc6-dev | libc-dev, gcc (>= 4:10.2), g++ (>= 4:10.2), make, dpkg-dev (>= 1.17.11)	3
busybox-initramfs	1:1.30.1-7ubuntu3.1	amd64	369664	361.00 KB	0	libc6 (>= 2.34)	3
busybox-static	1:1.30.1-7ubuntu3.1	amd64	2298880	2.19 MB	0	-	1
byobu	5.133-1	all	638976	624.00 KB	1	debconf (>= 0.5) | debconf-2.0, python3:any, gettext-base, iproute2, python3, python3-newt, tmux (>= 1.5), gawk	2
bzip2	1.0.8-5build1	amd64	116736	114.00 KB	0	libbz2-1.0 (= 1.0.8-5build1), libc6 (>= 2.34)	5
ca-certificates	20240203~22.04.1	all	408576	399.00 KB	1	openssl (>= 1.1.1), debconf (>= 0.5) | debconf-2.0	23
chafa	1.8.0-1	amd64	116736	114.00 KB	1	libc6 (>= 2.34), libchafa0 (= 1.8.0-1), libfreetype6 (>= 2.2.1), libglib2.0-0 (>= 2.28.0), libmagickwand-6.q16-6 (>= 8:6.9.10.2)	0
clang-12	1:12.0.1-19ubuntu3	amd64	359424	351.00 KB	1	libc6 (>= 2.34), libclang-cpp12 (>= 1:12.0.1), libgcc-s1 (>= 3.0), libllvm12, libstdc++6 (>= 11), libstdc++-11-dev, libgcc-11-dev, libobjc-11-dev, libclang-common-12-dev (= 1:12.0.1-19ubuntu3), llvm-12-linker-tools (= 1:12.0.1-19ubuntu3), libclang1-12 (= 1:12.0.1-19ubuntu3), libc6-dev, binutils	1
clang-12-doc	1:12.0.1-19ubuntu3	all	10805248	10.30 MB	1	libjs-mathjax	1
clang-12-examples	1:12.0.1-19ubuntu3	amd64	93184	91.00 KB	1	-	0
clang-15	1:15.0.7-0ubuntu0.22.04.3	amd64	390144	381.00 KB	1	libc6 (>= 2.34), libclang-cpp15 (>= 1:15.0.7), libgcc-s1 (>= 3.0), libllvm15, libstdc++6 (>= 11), libstdc++-11-dev, libgcc-11-dev, libobjc-11-dev, libclang-common-15-dev (= 1:15.0.7-0ubuntu0.22.04.3), llvm-15-linker-tools (= 1:15.0.7-0ubuntu0.22.04.3), libclang1-15 (= 1:15.0.7-0ubuntu0.22.04.3), libc6-dev, binutils	0
clangd-12	1:12.0.1-19ubuntu3	amd64	11084800	10.57 MB	1	libc6 (>= 2.34), libclang-cpp12 (>= 1:12.0.1), libgcc-s1 (>= 3.0), libgrpc++1 (>= 1.30.2), libllvm12, libprotobuf23 (>= 3.12.4), libstdc++6 (>= 11), libclang-common-12-dev (= 1:12.0.1-19ubuntu3)	0
cloud-guest-utils	0.32-22-g45fe84a5-0ubuntu1	all	66560	65.00 KB	1	fdisk | gdisk, python3:any	1
cloud-init	25.1.4-0ubuntu0~22.04.1	all	3219456	3.07 MB	1	cloud-guest-utils | cloud-utils, isc-dhcp-client, iproute2, netplan.io, procps, python3, python3-debconf, python3-requests, python3-serial, debconf (>= 0.5) | debconf-2.0, python3-configobj, python3-jinja2, python3-jsonpatch, python3-jsonschema, python3-oauthlib, python3-yaml, python3:any	3
cloud-initramfs-copymods	0.47ubuntu1	all	25600	25.00 KB	1	initramfs-tools	0
cloud-initramfs-dyn-netconf	0.47ubuntu1	all	31744	31.00 KB	1	initramfs-tools	0
cmake-data	3.16.3-1ubuntu1.20.04.1	all	8672256	8.27 MB	0	-	0
colord	1.4.6-1	amd64	1013760	990.00 KB	0	acl, adduser, colord-data, policykit-1 (>= 0.103), dconf-gsettings-backend | gsettings-backend, libc6 (>= 2.34), libcolord2 (>= 1.4.3), libcolorhug2 (>= 0.1.30), libdbus-1-3 (>= 1.9.14), libglib2.0-0 (>= 2.58), libgudev-1.0-0 (>= 146), libgusb2 (>= 0.2.7), liblcms2-2 (>= 2.2+git20110628), libpolkit-gobject-1-0 (>= 0.103), libsane1 (>= 1.0.27), libsqlite3-0 (>= 3.5.9), libsystemd0	1
command-not-found	22.04.0	all	37888	37.00 KB	0	python3-commandnotfound (= 22.04.0)	4
console-setup	1.205ubuntu3	all	436224	426.00 KB	0	console-setup-linux | console-setup-freebsd | hurd, xkb-data (>= 0.9), keyboard-configuration (= 1.205ubuntu3)	5
console-setup-linux	1.205ubuntu3	all	2223104	2.12 MB	0	kbd (>= 0.99-12) | console-tools (>= 1:0.2.3-16), keyboard-configuration (= 1.205ubuntu3), init-system-helpers (>= 1.29~) | initscripts	1
containerd.io	1.7.27-1	amd64	125071360	119.28 MB	1	libc6 (>= 2.34), libseccomp2 (>= 2.5.0)	1
coreutils	8.32-4.1ubuntu1.2	amd64	7282688	6.95 MB	0	-	3
cpio	2.13+dfsg-7ubuntu0.1	amd64	335872	328.00 KB	0	libc6 (>= 2.34)	3
cpp	4:11.2.0-1ubuntu1	amd64	68608	67.00 KB	0	cpp-11 (>= 11.2.0-1~)	4
cpp-10	10.5.0-1ubuntu1~22.04.2	amd64	26795008	25.55 MB	0	gcc-10-base (= 10.5.0-1ubuntu1~22.04.2), libc6 (>= 2.34), libgmp10 (>= 2:6.2.1+dfsg), libisl23 (>= 0.15), libmpc3 (>= 1.1.0), libmpfr6 (>= 3.1.3), libzstd1 (>= 1.4.0), zlib1g (>= 1:1.1.4)	1
cpp-11	11.4.0-1ubuntu1~22.04.2	amd64	26918912	25.67 MB	0	gcc-11-base (= 11.4.0-1ubuntu1~22.04.2), libc6 (>= 2.34), libgmp10 (>= 2:6.2.1+dfsg), libisl23 (>= 0.15), libmpc3 (>= 1.1.0), libmpfr6 (>= 3.1.3), libzstd1 (>= 1.4.0), zlib1g (>= 1:1.1.4)	2
cpp-9	9.5.0-1ubuntu1~22.04	amd64	28701696	27.37 MB	0	gcc-9-base (= 9.5.0-1ubuntu1~22.04), libc6 (>= 2.34), libgmp10 (>= 2:6.2.1+dfsg), libisl23 (>= 0.15), libmpc3 (>= 1.1.0), libmpfr6 (>= 3.1.3), zlib1g (>= 1:1.1.4)	1
cracklib-runtime	2.9.6-3.4build4	amd64	611328	597.00 KB	0	file, libcrack2 (>= 2.9.6-3.4build4), libc6 (>= 2.34)	0
crda	3.18-1build1	amd64	271360	265.00 KB	0	libc6 (>= 2.7), libnl-3-200 (>= 3.2.7), libnl-genl-3-200 (>= 3.2.7), libssl1.1 (>= 1.1.0), wireless-regdb, iw (>= 3.2-1~)	0
cron	3.0pl1-137ubuntu3	amd64	261120	255.00 KB	0	libc6 (>= 2.34), libpam0g (>= 0.99.7.1), libselinux1 (>= 3.1~), debianutils (>= 1.7), sensible-utils, adduser, lsb-base (>= 3.0-10), libpam-runtime (>= 1.0.1-11)	5
cryptsetup	2:2.4.3-1ubuntu1.3	amd64	487424	476.00 KB	0	cryptsetup-bin (>= 2:1.6.0), dmsetup, debconf (>= 0.5) | debconf-2.0, libc6 (>= 2.34), libcryptsetup12 (>= 2:2.4), libjson-c5 (>= 0.15), libssh-4 (>= 0.8.0)	3
cryptsetup-bin	2:2.4.3-1ubuntu1.3	amd64	598016	584.00 KB	0	libblkid1 (>= 2.24.2), libc6 (>= 2.34), libcryptsetup12 (>= 2:2.4), libjson-c5 (>= 0.15), libpopt0 (>= 1.14), libssh-4 (>= 0.8.0), libuuid1 (>= 2.16)	3
cryptsetup-initramfs	2:2.4.3-1ubuntu1.3	all	160768	157.00 KB	0	busybox-initramfs, cryptsetup (>= 2:2.4.3-1ubuntu1.3), initramfs-tools (>= 0.137) | linux-initramfs-tool, debconf (>= 0.5) | debconf-2.0	1
cups-pk-helper	0.2.6-1ubuntu5	amd64	315392	308.00 KB	0	libc6 (>= 2.34), libcups2 (>= 1.6.0), libglib2.0-0 (>= 2.37.3), libpolkit-gobject-1-0 (>= 0.99)	0
curl	7.81.0-1ubuntu1.20	amd64	454656	444.00 KB	1	libc6 (>= 2.34), libcurl4 (= 7.81.0-1ubuntu1.20), zlib1g (>= 1:1.1.4)	4
dash	0.5.11+git20210903+057cd650a4ed-3build1	amd64	219136	214.00 KB	1	debianutils (>= 2.15), dpkg (>= 1.19.1), debconf (>= 0.5) | debconf-2.0	0
dbus	1.12.20-2ubuntu4.1	amd64	595968	582.00 KB	0	adduser, libapparmor1 (>= 2.8.94), libaudit1 (>= 1:2.2.1), libc6 (>= 2.34), libcap-ng0 (>= 0.7.9), libdbus-1-3 (= 1.12.20-2ubuntu4.1), libexpat1 (>= 2.1~beta3), libselinux1 (>= 3.1~), libsystemd0	8
dbus-user-session	1.12.20-2ubuntu4.1	amd64	133120	130.00 KB	0	dbus (>= 1.12.20-2ubuntu4.1), libpam-systemd, systemd	4
dbus-x11	1.12.20-2ubuntu4.1	amd64	164864	161.00 KB	1	dbus, libc6 (>= 2.34), libdbus-1-3 (= 1.12.20-2ubuntu4.1), libx11-6	2
dconf-gsettings-backend	0.40.0-3	amd64	84992	83.00 KB	0	dconf-service (<< 0.40.0-3.1~), dconf-service (>= 0.40.0-3), libdconf1 (= 0.40.0-3), libc6 (>= 2.14), libglib2.0-0 (>= 2.55.2)	5
dconf-service	0.40.0-3	amd64	104448	102.00 KB	0	default-dbus-session-bus | dbus-session-bus, libdconf1 (= 0.40.0-3), libc6 (>= 2.34), libglib2.0-0 (>= 2.55.2)	1
debconf	1.5.79ubuntu1	all	524288	512.00 KB	0	-	41
debconf-i18n	1.5.79ubuntu1	all	805888	787.00 KB	0	debconf (= 1.5.79ubuntu1), liblocale-gettext-perl, libtext-iconv-perl, libtext-wrapi18n-perl, libtext-charwidth-perl	2
debianutils	5.5-1ubuntu2	amd64	248832	243.00 KB	0	-	7
desktop-file-utils	0.26-1ubuntu3	amd64	266240	260.00 KB	0	libc6 (>= 2.34), libglib2.0-0 (>= 2.49.3)	1
dictionaries-common	1.28.14	all	783360	765.00 KB	0	debconf (>= 0.5) | debconf-2.0, libtext-iconv-perl, emacsen-common	0
diffutils	1:3.8-0ubuntu2	amd64	434176	424.00 KB	1	-	0
dirmngr	2.2.27-3ubuntu2.4	amd64	692224	676.00 KB	1	adduser, gpgconf (= 2.2.27-3ubuntu2.4), lsb-base (>= 3.2-13), init-system-helpers (>= 1.52), libassuan0 (>= 2.5.0), libc6 (>= 2.34), libgcrypt20 (>= 1.9.0), libgnutls30 (>= 3.7.2), libgpg-error0 (>= 1.42), libksba8 (>= 1.3.5), libldap-2.5-0 (>= 2.5.4), libnpth0 (>= 0.90)	5
distro-info	1.1ubuntu0.2	amd64	70656	69.00 KB	0	distro-info-data (>= 0.46), libc6 (>= 2.34)	3
distro-info-data	0.52ubuntu0.9	all	20480	20.00 KB	0	-	5
dmeventd	2:1.02.175-2.1ubuntu5	amd64	251904	246.00 KB	0	libc6 (>= 2.34), libdevmapper-event1.02.1 (>= 2:1.02.110), libdevmapper1.02.1 (>= 2:1.02.110), liblvm2cmd2.03 (>= 2.03.11)	2
dmidecode	3.3-3ubuntu0.2	amd64	217088	212.00 KB	0	libc6 (>= 2.34)	2
dmsetup	2:1.02.175-2.1ubuntu5	amd64	280576	274.00 KB	0	libc6 (>= 2.34), libdevmapper1.02.1 (>= 2:1.02.138)	4
dnsmasq-base	2.86-1.1ubuntu0.3	amd64	860160	840.00 KB	0	adduser, libc6 (>= 2.34), libdbus-1-3 (>= 1.9.14), libgmp10 (>= 2:6.2.1+dfsg), libhogweed6 (>= 2.4-3), libidn2-0 (>= 2.0.0), libnetfilter-conntrack3 (>= 1.0.1), libnettle8 (>= 2.4-3)	0
docbook-xml	4.5-11	all	2185216	2.08 MB	0	sgml-data (>= 2.0.2), sgml-base (>= 1.28), xml-core (>= 0.14)	0
docker-buildx-plugin	0.26.1-1~ubuntu.22.04~jammy	amd64	77804544	74.20 MB	1	-	2
docker-ce	5:28.3.3-1~ubuntu.22.04~jammy	amd64	90145792	85.97 MB	1	containerd.io (>= 1.6.24), docker-ce-cli, iptables, libc6 (>= 2.34), libsystemd0	2
docker-ce-cli	5:28.3.3-1~ubuntu.22.04~jammy	amd64	45578240	43.47 MB	1	libc6 (>= 2.34)	3
docker-ce-rootless-extras	5:28.3.3-1~ubuntu.22.04~jammy	amd64	14991360	14.30 MB	0	dbus-user-session, libc6 (>= 2.34)	1
docker-compose-plugin	2.39.1-1~ubuntu.22.04~jammy	amd64	76569600	73.02 MB	1	-	1
docutils-common	0.16+dfsg-2	all	489472	478.00 KB	0	sgml-base (>= 1.28), xml-core (>= 0.14)	0
dos2unix	7.4.2-2	amd64	1367040	1.30 MB	1	libc6 (>= 2.34)	0
dosfstools	4.2-1build3	amd64	250880	245.00 KB	0	libc6 (>= 2.34)	4
doxygen	1.9.1-2ubuntu2	amd64	17906688	17.08 MB	1	libc6 (>= 2.34), libclang-cpp14 (>= 1:14.0.0~+rc1), libclang1-14 (>= 1:5.0~svn298832-1~), libgcc-s1 (>= 3.0), libllvm14, libstdc++6 (>= 11), libxapian30 (>= 1.4.17~)	0
dpkg	1.21.1ubuntu2.3	amd64	6894592	6.58 MB	0	tar (>= 1.28-1)	21
dpkg-dev	1.21.1ubuntu2.3	all	2547712	2.43 MB	0	perl:any, libdpkg-perl (= 1.21.1ubuntu2.3), tar (>= 1.28-1), bzip2, xz-utils, patch (>= 2.7), make, binutils, lto-disabled-list	4
e2fsprogs	1.46.5-2ubuntu1.2	amd64	1552384	1.48 MB	0	logsave	7
eatmydata	130-2build1	all	25600	25.00 KB	1	libeatmydata1 (>= 130-2build1)	2
ed	1.18-1	amd64	110592	108.00 KB	0	libc6 (>= 2.34)	3
eject	2.37.2-4ubuntu3.4	amd64	155648	152.00 KB	0	libc6 (>= 2.34), libmount1 (>= 2.24.2)	2
emacsen-common	3.0.4	all	63488	62.00 KB	0	-	0
ethtool	1:5.16-1ubuntu0.2	amd64	645120	630.00 KB	1	libc6 (>= 2.34), libmnl0 (>= 1.0.3-4~)	1
evolution-data-server	3.44.4-0ubuntu1	amd64	3040256	2.90 MB	0	libc6 (>= 2.34), libcamel-1.2-63 (= 3.44.4-0ubuntu1), libcanberra-gtk3-0 (>= 0.25), libcanberra0 (>= 0.2), libdb5.3, libebackend-1.2-10 (= 3.44.4-0ubuntu1), libebook-1.2-20 (>= 3.17), libebook-contacts-1.2-3 (>= 3.43.2), libecal-2.0-1 (>= 3.39.2), libedata-book-1.2-26 (>= 3.43.2), libedata-cal-2.0-1 (>= 3.26.2), libedataserver-1.2-26 (= 3.44.4-0ubuntu1), libedataserverui-1.2-3 (= 3.44.4-0ubuntu1), libgcr-base-3-1 (>= 3.8.0), libgcr-ui-3-1 (>= 3.8.0), libgdata22 (>= 0.17.10), libglib2.0-0 (>= 2.70.0), libgoa-1.0-0b (>= 3.11.90), libgtk-3-0 (>= 3.10), libgweather-3-16 (>= 40.0), libical3 (>= 3.0.7), libldap-2.5-0 (>= 2.5.4), libpango-1.0-0 (>= 1.14.0), libsecret-1-0 (>= 0.7), libsoup2.4-1 (>= 2.42), libxml2 (>= 2.9.0), evolution-data-server-common (>= 3.44.4-0ubuntu1), gnome-keyring	0
fakeroot	1.28-1ubuntu1	amd64	225280	220.00 KB	0	libfakeroot (>= 1.28-1ubuntu1), libc6 (>= 2.34)	3
fdisk	2.37.2-4ubuntu3.4	amd64	447488	437.00 KB	0	libc6 (>= 2.34), libfdisk1 (>= 2.36), libmount1 (>= 2.24.2), libncursesw6 (>= 6), libreadline8 (>= 6.0), libsmartcols1 (>= 2.28~rc1), libtinfo6 (>= 6)	2
file	1:5.41-3ubuntu0.1	amd64	86016	84.00 KB	0	libc6 (>= 2.34), libmagic1 (= 1:5.41-3ubuntu0.1)	4
finalrd	9build1	all	30720	30.00 KB	0	-	2
findutils	4.8.0-1ubuntu3	amd64	634880	620.00 KB	1	-	0
fontconfig	2.13.1-4.2ubuntu5	amd64	384000	375.00 KB	0	libc6 (>= 2.34), libfontconfig1 (>= 2.13.0), libfreetype6 (>= 2.8.1), fontconfig-config	1
fontconfig-config	2.13.1-4.2ubuntu5	all	176128	172.00 KB	1	ucf (>= 0.29), fonts-dejavu-core | ttf-bitstream-vera | fonts-liberation | fonts-liberation2 | fonts-croscore | fonts-freefont-otf | fonts-freefont-ttf | fonts-urw-base35 | fonts-texgyre	2
fonts-dejavu-core	2.37-2build1	all	3024896	2.88 MB	1	-	1
fonts-droid-fallback	1:6.0.1r16-1.1build1	all	7523328	7.17 MB	0	-	1
fonts-liberation	1:1.07.4-11	all	2139136	2.04 MB	0	-	2
fonts-mathjax	2.7.9+dfsg-1	all	4520960	4.31 MB	0	-	1
fonts-noto-mono	20201225-1build1	all	1187840	1.13 MB	0	-	1
fonts-ubuntu	0.83-6ubuntu1	all	4443136	4.24 MB	0	-	2
fonts-ubuntu-console	0.83-6ubuntu1	all	64512	63.00 KB	1	-	0
fonts-urw-base35	20200910-1	all	11361280	10.83 MB	0	-	2
fprintd	1.94.2-1ubuntu0.22.04.1	amd64	684032	668.00 KB	0	dbus, policykit-1, libc6 (>= 2.34), libfprint-2-2 (>= 1:1.94.1), libglib2.0-0 (>= 2.56), libpolkit-gobject-1-0 (>= 0.99)	0
freeglut3	2.8.1-6	amd64	329728	322.00 KB	0	libc6 (>= 2.17), libgl1, libx11-6 (>= 2:1.2.99.901), libxi6 (>= 2:1.2.99.4), libxxf86vm1	1
freeglut3-dev	2.8.1-6	amd64	777216	759.00 KB	1	freeglut3 (= 2.8.1-6), libgl1-mesa-dev, libglu1-mesa-dev, libxext-dev, libxt-dev	0
friendly-recovery	0.2.42	all	46080	45.00 KB	0	systemd-sysv, whiptail	1
ftp	20210827-4build1	all	26624	26.00 KB	0	tnftp	4
fuse	2.9.9-3	amd64	115712	113.00 KB	0	libc6 (>= 2.28), libfuse2 (= 2.9.9-3), adduser, mount (>= 2.19.1), sed (>= 4)	2
fuse3	3.10.5-1build1	amd64	92160	90.00 KB	0	libc6 (>= 2.34), libfuse3-3 (= 3.10.5-1build1), adduser, mount (>= 2.19.1), sed (>= 4), lsb-base (>= 3.2-14)	4
fwupd	1.7.9-1~22.04.3	amd64	6897664	6.58 MB	1	libfwupd2 (= 1.7.9-1~22.04.3), libfwupdplugin5 (= 1.7.9-1~22.04.3), libc6 (>= 2.34), libcurl3-gnutls (>= 7.63.0), libefiboot1 (>= 37), libglib2.0-0 (>= 2.70.0), libgnutls30 (>= 3.7.3), libgudev-1.0-0 (>= 165), libgusb2 (>= 0.3.8), libjcat1 (>= 0.1.4), libjson-glib-1.0-0 (>= 1.5.2), libmbim-glib4 (>= 1.26.0), libmbim-proxy, libmm-glib0 (>= 1.18), libpolkit-gobject-1-0 (>= 0.99), libqmi-glib5 (>= 1.18.0), libqmi-proxy, libsmbios-c2, libsqlite3-0 (>= 3.6.1), libsystemd0, libtss2-esys-3.0.2-0 (>= 2.3.1), libxmlb2 (>= 0.3.2), shared-mime-info	1
fwupd-signed	1.51.1~22.04.1+1.4-0ubuntu0.1	amd64	78848	77.00 KB	0	-	1
fzf	0.29.0-1ubuntu0.1	amd64	2495488	2.38 MB	1	-	0
g++	4:11.2.0-1ubuntu1	amd64	16384	16.00 KB	1	cpp (= 4:11.2.0-1ubuntu1), gcc (= 4:11.2.0-1ubuntu1), g++-11 (>= 11.2.0-1~), gcc-11 (>= 11.2.0-1~)	1
g++-10	10.5.0-1ubuntu1~22.04.2	amd64	29034496	27.69 MB	1	gcc-10-base (= 10.5.0-1ubuntu1~22.04.2), gcc-10 (= 10.5.0-1ubuntu1~22.04.2), libstdc++-10-dev (= 10.5.0-1ubuntu1~22.04.2), libc6 (>= 2.34), libgmp10 (>= 2:6.2.1+dfsg), libisl23 (>= 0.15), libmpc3 (>= 1.1.0), libmpfr6 (>= 3.1.3), libzstd1 (>= 1.4.0), zlib1g (>= 1:1.1.4)	0
g++-11	11.4.0-1ubuntu1~22.04.2	amd64	29580288	28.21 MB	0	gcc-11-base (= 11.4.0-1ubuntu1~22.04.2), gcc-11 (= 11.4.0-1ubuntu1~22.04.2), libstdc++-11-dev (= 11.4.0-1ubuntu1~22.04.2), libc6 (>= 2.34), libgmp10 (>= 2:6.2.1+dfsg), libisl23 (>= 0.15), libmpc3 (>= 1.1.0), libmpfr6 (>= 3.1.3), libzstd1 (>= 1.4.0), zlib1g (>= 1:1.1.4)	1
gamin	0.1.10-6	amd64	130048	127.00 KB	0	libc6 (>= 2.28), libglib2.0-0 (>= 2.35.9), libgamin0 (= 0.1.10-6)	0
gawk	1:5.1.0-1ubuntu0.1	amd64	1720320	1.64 MB	0	-	3
