PKG	VERSION	ARCH	SIZE_BYTES	SIZE_HUMAN	MANUAL	DEPENDS	RDEPS_COUNT
libllvm15	1:15.0.7-0ubuntu0.22.04.3	amd64	116948992	111.53 MB	0	libc6 (>= 2.34), libedit2 (>= 2.11-20080614-0), libffi8 (>= 3.4), libgcc-s1 (>= 3.3), libstdc++6 (>= 12), libtinfo6 (>= 6), libxml2 (>= 2.7.4), zlib1g (>= 1:1.2.0)	9
liblmdb0	0.9.24-1build2	amd64	111616	109.00 KB	0	libc6 (>= 2.34)	1
liblocale-gettext-perl	1.07-4build3	amd64	60416	59.00 KB	0	libc6 (>= 2.34)	5
liblqr-1-0	0.4.2-2.1	amd64	75776	74.00 KB	0	libc6 (>= 2.2.5), libglib2.0-0 (>= 2.24.0)	1
liblsan0	12.3.0-1ubuntu1~22.04.2	amd64	3032064	2.89 MB	0	gcc-12-base (= 12.3.0-1ubuntu1~22.04.2), libc6 (>= 2.34), libgcc-s1 (>= 3.3)	3
libltdl7	2.4.6-15build2	amd64	429056	419.00 KB	0	libc6 (>= 2.34)	3
libluajit-5.1-2	2.1.0~beta3+dfsg-6	amd64	564224	551.00 KB	0	libluajit-5.1-common (= 2.1.0~beta3+dfsg-6), libc6 (>= 2.29), libgcc-s1 (>= 3.3)	1
libluajit-5.1-common	2.1.0~beta3+dfsg-6	all	210944	206.00 KB	0	-	1
liblvm2cmd2.03	2.03.11-2.1ubuntu5	amd64	3009536	2.87 MB	0	libaio1 (>= 0.3.93), libblkid1 (>= 2.24.2), libc6 (>= 2.33), libselinux1 (>= 3.1~), libsystemd0 (>= 222), libudev1 (>= 183), dmeventd	1
liblwp-mediatypes-perl	6.04-1	all	73728	72.00 KB	0	perl	3
liblwp-protocol-https-perl	6.10-1	all	27648	27.00 KB	0	perl:any, ca-certificates, libio-socket-ssl-perl, libnet-http-perl, libwww-perl	1
liblz4-1	1.9.3-2build2	amd64	148480	145.00 KB	0	libc6 (>= 2.14)	7
liblzma5	5.2.5-2ubuntu1	amd64	296960	290.00 KB	0	libc6 (>= 2.34)	20
liblzo2-2	2.10-2build3	amd64	162816	159.00 KB	0	libc6 (>= 2.14)	3
libmagic-mgc	1:5.41-3ubuntu0.1	amd64	7299072	6.96 MB	0	-	1
libmagic1	1:5.41-3ubuntu0.1	amd64	234496	229.00 KB	0	libbz2-1.0, libc6 (>= 2.33), liblzma5 (>= 5.1.1alpha+20120614), zlib1g (>= 1:1.1.4), libmagic-mgc (= 1:5.41-3ubuntu0.1)	3
libmagickcore-6.q16-6	8:6.9.11.60+dfsg-1.3ubuntu0.22.04.5	amd64	6810624	6.50 MB	0	libbz2-1.0, libc6 (>= 2.35), libfftw3-double3 (>= 3.3.5), libfontconfig1 (>= 2.12.6), libfreetype6 (>= 2.2.1), libgcc-s1 (>= 3.3.1), libgomp1 (>= 6), libheif1 (>= 1.4.0), libjbig0 (>= 2.0), libjpeg8 (>= 8c), liblcms2-2 (>= 2.6), liblqr-1-0 (>= 0.4.0), libltdl7 (>= 2.4.6), liblzma5 (>= 5.1.1alpha+20120614), libopenjp2-7 (>= 2.0.0), libpng16-16 (>= 1.6.2-1), libtiff5 (>= 4.0.3), libwebp7, libwebpdemux2, libwebpmux3, libx11-6, libxext6, libxml2 (>= 2.7.4), zlib1g (>= 1:1.1.4), imagemagick-6-common (>= 8:6.9.6.2+dfsg-3)	1
libmagickwand-6.q16-6	8:6.9.11.60+dfsg-1.3ubuntu0.22.04.5	amd64	1376256	1.31 MB	0	libc6 (>= 2.14), libgcc-s1 (>= 3.3.1), libgomp1 (>= 4.9), libmagickcore-6.q16-6 (>= 8:6.9.11.24), libx11-6, imagemagick-6-common (>= 8:6.9.6.2+dfsg-3)	1
libmailtools-perl	2.21-1	all	228352	223.00 KB	0	perl, libnet-perl, libnet-smtp-ssl-perl, libtest-simple-perl, libtimedate-perl	1
libmaxminddb0	1.5.2-1build2	amd64	77824	76.00 KB	0	libc6 (>= 2.33)	1
libmbim-glib4	1.28.0-1~ubuntu20.04.2	amd64	700416	684.00 KB	0	libc6 (>= 2.14), libglib2.0-0 (>= 2.56)	4
libmbim-proxy	1.28.0-1~ubuntu20.04.2	amd64	33792	33.00 KB	0	libc6 (>= 2.34), libglib2.0-0 (>= 2.56), libmbim-glib4 (= 1.28.0-1~ubuntu20.04.2)	3
libmd0	1.0.4-1build1	amd64	72704	71.00 KB	0	libc6 (>= 2.33)	1
libmm-glib0	1.20.0-1~ubuntu22.04.4	amd64	1289216	1.23 MB	0	libc6 (>= 2.14), libglib2.0-0 (>= 2.61.2)	2
libmnl0	1.0.4-3build2	amd64	48128	47.00 KB	0	libc6 (>= 2.14)	6
